rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4097,3.6147496700286865,11.795665740966797,233.66799926757812,-0.76337930560112,3.6854686737060547,15.980412006378174,14.542498111724854,-21.98891544342041,-68.51781845092773,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4098,3.799983978271485,11.760245323181152,232.77407836914062,-0.7664546966552734,3.686336040496826,15.985880851745605,14.564300537109375,-21.9699764251709,-68.50004577636719,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4099,3.814961075782776,11.802825927734375,232.01703643798828,-0.764465719461441,3.6860235929489136,15.98908805847168,14.553929328918457,-21.979111671447754,-68.48043823242188,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4100,3.8299381732940674,11.845406532287598,231.25999450683597,-0.7624767422676086,3.6857111454010014,15.992295265197756,14.543558120727539,-21.98824691772461,-68.46083068847656,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4102,3.7140822410583496,11.97355842590332,229.9982452392578,-0.7590700387954712,3.677546501159668,15.993127822875975,14.515881538391113,-21.962772369384766,-68.43719482421875,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4104,3.5478301048278813,12.108437538146973,228.9444274902344,-0.7515362501144409,3.670213222503662,15.98146915435791,14.513859748840332,-21.954626083374023,-68.42145538330078,0.031610000878572464,-0.03537999838590622,-0.023490000516176224,1160,1160,1160,1160,0,0,0,0,0,0
4106,2.796228170394897,12.138537406921387,230.65887451171875,-0.7471120953559875,3.662774801254273,15.955031394958494,14.390923500061035,-21.988840103149414,-68.42079162597656,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4108,2.0845980644226074,12.157752990722654,232.36502075195312,-0.7458437085151672,3.65744686126709,15.958144187927244,14.332534790039062,-21.993513107299805,-68.423095703125,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4110,1.411022067070007,12.165507316589355,234.0586853027344,-0.7372896671295166,3.649163007736206,15.956950187683105,14.350604057312012,-21.938989639282227,-68.44012451171875,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4112,0.7756637930870056,12.163640975952148,235.7395477294922,-0.7308838367462158,3.644952535629273,15.954598426818848,14.41254997253418,-21.9288387298584,-68.44646453857422,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4114,0.1790378838777542,12.153979301452635,237.40728759765625,-0.7289416193962097,3.647959232330322,15.9590425491333,14.380254745483398,-21.94782066345215,-68.44971466064453,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4116,-0.3784454464912415,12.13858699798584,239.06146240234372,-0.7312080860137941,3.657050371170044,15.965474128723145,14.416494369506836,-21.98094940185547,-68.46321868896484,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4118,-0.8962355256080627,12.117053031921387,240.7017822265625,-0.7381606698036194,3.661942481994629,15.969882011413574,14.412138938903807,-21.964046478271484,-68.49859619140625,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4120,-1.3752603530883791,12.0908203125,242.3275909423828,-0.7442620396614075,3.6715822219848633,15.981552124023438,14.452136993408205,-21.904001235961914,-68.52732086181639,-0.06872999668121338,-0.06901999562978745,-0.015370000153779984,1160,1160,1160,1160,0,0,0,0,0,0
4122,-2.1046380996704097,11.878458023071287,243.98731994628903,-0.7474251985549927,3.6735024452209473,15.983275413513185,14.45736026763916,-21.87876892089844,-68.53182220458984,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4124,-2.7776448726654053,11.669940948486328,245.64434814453125,-0.7608560919761658,3.677970170974731,15.99886703491211,14.437399864196776,-21.832258224487305,-68.55097198486328,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4126,-3.3966884613037114,11.465497970581055,247.29586791992188,-0.7667937874794006,3.679746150970459,16.005056381225586,14.419333457946776,-21.83359909057617,-68.56381225585939,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4128,-3.96440052986145,11.265421867370605,248.94009399414062,-0.7658405303955078,3.679701566696167,16.00724983215332,14.386896133422852,-21.89765167236328,-68.5306396484375,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
4130,-4.483029842376709,11.069539070129396,250.5754547119141,-0.7600989937782288,3.6758816242218018,16.004369735717773,14.32269287109375,-21.99799919128418,-68.49078369140625,-0.05770999938249587,-0.03683000057935715,-0.019430000334978104,1160,1160,1160,1160,0,0,0,0,0,0
