rtosTick,pitch,roll,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,m1CMD,m2CMD,m3CMD,m4CMD,asp,asr,asy,rsp,rsr,rsy
4097,3.6147,11.796,233.67,-0.76338,3.6855,15.98,0.072712,-0.10994,-0.34259,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4098,3.8,11.76,232.77,-0.76645,3.6863,15.986,0.072822,-0.10985,-0.3425,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4099,3.815,11.803,232.02,-0.76447,3.686,15.989,0.07277,-0.1099,-0.3424,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4100,3.8299,11.845,231.26,-0.76248,3.6857,15.992,0.072718,-0.10994,-0.3423,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4102,3.7141,11.974,230,-0.75907,3.6775,15.993,0.072579,-0.10981,-0.34219,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4104,3.5478,12.108,228.94,-0.75154,3.6702,15.981,0.072569,-0.10977,-0.34211,0.03161,-0.03538,-0.02349,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4106,2.7962,12.139,230.66,-0.74711,3.6628,15.955,0.071955,-0.10994,-0.3421,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4108,2.0846,12.158,232.37,-0.74584,3.6574,15.958,0.071663,-0.10997,-0.34212,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4110,1.411,12.166,234.06,-0.73729,3.6492,15.957,0.071753,-0.10969,-0.3422,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4112,0.77566,12.164,235.74,-0.73088,3.645,15.955,0.072063,-0.10964,-0.34223,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4114,0.17904,12.154,237.41,-0.72894,3.648,15.959,0.071901,-0.10974,-0.34225,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4116,-0.37845,12.139,239.06,-0.73121,3.6571,15.965,0.072082,-0.1099,-0.34232,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4118,-0.89624,12.117,240.7,-0.73816,3.6619,15.97,0.072061,-0.10982,-0.34249,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4120,-1.3753,12.091,242.33,-0.74426,3.6716,15.982,0.072261,-0.10952,-0.34264,-0.06873,-0.06902,-0.01537,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4122,-2.1046,11.878,243.99,-0.74743,3.6735,15.983,0.072287,-0.10939,-0.34266,-0.05771,-0.03683,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4124,-2.7776,11.67,245.64,-0.76086,3.678,15.999,0.072187,-0.10916,-0.34275,-0.05771,-0.03683,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4126,-3.3967,11.465,247.3,-0.76679,3.6797,16.005,0.072097,-0.10917,-0.34282,-0.05771,-0.03683,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4128,-3.9644,11.265,248.94,-0.76584,3.6797,16.007,0.071934,-0.10949,-0.34265,-0.05771,-0.03683,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
4130,-4.483,11.07,250.58,-0.7601,3.6759,16.004,0.071613,-0.10999,-0.34245,-0.05771,-0.03683,-0.01943,1.25,1.25,1.25,1.25,0,0,0,0,0,0
