rtosTick,pitch,roll,yaw,m1CMD,m2CMD,m3CMD,m4CMD
1611,0.517701566219,1.24055612087,178.150405884,0,0,0,0
1612,0.995684206486,2.35294747353,176.223480225,0,0,0,0
1614,1.41941213608,3.30892157555,174.218231201,0,0,0,0
1616,1.78172492981,4.08755064011,172.140777588,0,0,0,0
1618,2.07553935051,4.66856813431,170.003936768,0,0,0,0
3751,0.0,0.0,0.0,1000,855,950,905
3752,0.439958900213,0.450593173504,15.4192676544,0,0,0,0
3759,0.0,0.0,0.0,1201,1026,1141,1086
3767,0.0,0.0,0.0,1240,1060,1179,1121
3774,0.44671729207,0.497157454491,15.7842321396,0,0,0,0
3775,0.0,0.0,0.0,1249,1067,1187,1128
3776,0.448998987675,0.493032246828,15.8119220734,0,0,0,0
3778,0.450846612453,0.488575875759,15.8389282227,0,0,0,0
3780,0.452415525913,0.484647244215,15.8652524948,0,0,0,0
3782,0.453519493341,0.481119960546,15.8908786774,0,0,0,0
3783,0.0,0.0,0.0,1251,1068,1188,1130
3784,0.405152916908,0.632235467434,16.0080299377,0,0,0,0
3786,0.382849276066,0.702038526535,16.1098690033,0,0,0,0
3788,0.374048471451,0.730858981609,16.2028007507,0,0,0,0
3790,0.371876657009,0.739149868488,16.2901573181,0,0,0,0
3791,0.0,0.0,0.0,1251,1068,1189,1130
3792,0.372656673193,0.738067388535,16.3736228943,0,0,0,0
3794,0.374859839678,0.733034193516,16.4540138245,0,0,0,0
3796,0.37715485692,0.725840687752,16.5317153931,0,0,0,0
3798,0.379546672106,0.717922925949,16.6069831848,0,0,0,0
3799,0.0,0.0,0.0,1250,1069,1190,1129
3800,0.423143148422,0.578498721123,16.5980758667,0,0,0,0
3802,0.446012556553,0.50481313467,16.599319458,0,0,0,0
3804,0.457765519619,0.465673923492,16.6057262421,0,0,0,0
3806,0.463780671358,0.444522202015,16.6146469116,0,0,0,0
3807,0.0,0.0,0.0,1251,1068,1190,1129
3808,0.46719545126,0.432957559824,16.6247272491,0,0,0,0
3810,0.469688862562,0.426410019398,16.6352329254,0,0,0,0
3812,0.471619665623,0.422611951828,16.6458339691,0,0,0,0
3814,0.473131209612,0.420052945614,16.6563110352,0,0,0,0
3815,0.0,0.0,0.0,1252,1067,1190,1129
3816,0.473223954439,0.420964807272,16.6682224274,0,0,0,0
3818,0.473994255066,0.4205968678,16.6796283722,0,0,0,0
3820,0.474859774113,0.41978764534,16.6906661987,0,0,0,0
3822,0.475509345531,0.418972998857,16.7013626099,0,0,0,0
3823,0.0,0.0,0.0,1252,1067,1190,1129
3824,0.476020425558,0.41826403141,16.7117176056,0,0,0,0
3826,0.476028859615,0.417192429304,16.7217311859,0,0,0,0
3828,0.475989699364,0.415933281183,16.7314567566,0,0,0,0
3830,0.476177096367,0.414585828781,16.740896225,0,0,0,0
3831,0.0,0.0,0.0,1253,1066,1190,1129
3832,0.464649170637,0.451632231474,16.7736530304,0,0,0,0
3834,0.459547042847,0.469183892012,16.8025188446,0,0,0,0
3836,0.457640975714,0.476836055517,16.8290462494,0,0,0,0
3838,0.457383722067,0.479738682508,16.8540458679,0,0,0,0
3839,0.0,0.0,0.0,1253,1066,1190,1129
3840,0.457981795073,0.479798316956,16.8778820038,0,0,0,0
3842,0.458991318941,0.478531867266,16.9008312225,0,0,0,0
3844,0.461030513048,0.476723194122,16.9230289459,0,0,0,0
3846,0.463095515966,0.474377840757,16.9445724487,0,0,0,0
3847,0.0,0.0,0.0,1253,1066,1190,1129
3848,0.489221274853,0.390924453735,16.9180850983,0,0,0,0
3850,0.501873373985,0.350171864033,16.8985919952,0,0,0,0
3852,0.508425831795,0.330347597599,16.8827991486,0,0,0,0
3854,0.511642217636,0.320700705051,16.869058609,0,0,0,0
3855,0.0,0.0,0.0,1253,1066,1191,1128
3856,0.513318359852,0.316206812859,16.8565311432,0,0,0,0
3858,0.514371812344,0.314362555742,16.8448371887,0,0,0,0
3860,0.514559209347,0.314252227545,16.833732605,0,0,0,0
3862,0.513992071152,0.314974844456,16.8230361938,0,0,0,0
3863,0.0,0.0,0.0,1254,1065,1191,1128
3864,0.519769191742,0.292891085148,16.7990341187,0,0,0,0
3866,0.52257078886,0.282930254936,16.7774925232,0,0,0,0
3868,0.523898661137,0.279216855764,16.7574386597,0,0,0,0
3870,0.525201022625,0.278598457575,16.7383956909,0,0,0,0
3871,0.0,0.0,0.0,1254,1065,1191,1128
3872,0.526025354862,0.279464244843,16.7201461792,0,0,0,0
3874,0.526314675808,0.280721843243,16.7025241852,0,0,0,0
3876,0.52670866251,0.282465994358,16.685503006,0,0,0,0
3878,0.526897013187,0.284322708845,16.6689872742,0,0,0,0
3879,0.0,0.0,0.0,1255,1064,1191,1128
3880,0.533034682274,0.264355272055,16.6397819519,0,0,0,0
3882,0.536967039108,0.256010770798,16.6130752563,0,0,0,0
3884,0.539026260376,0.253679990768,16.5879821777,0,0,0,0
3886,0.535025596619,0.256498575211,16.5638847351,0,0,0,0
3887,0.0,0.0,0.0,1255,1064,1191,1128
3888,0.527259528637,0.25587746501,16.5404033661,0,0,0,0
3890,0.518368601799,0.254186809063,16.5176448822,0,0,0,0
3892,0.518465042114,0.254559457302,16.4957466125,0,0,0,0
3894,0.530535459518,0.256307095289,16.4748325348,0,0,0,0
3895,0.0,0.0,0.0,1255,1064,1191,1128
3896,0.543538153172,0.278939038515,16.4698600769,0,0,0,0
3898,0.562571883202,0.297305047512,16.4642601013,0,0,0,0
3900,0.577158808708,0.312533259392,16.458316803,0,0,0,0
3902,0.577722251415,0.323117345572,16.4519786835,0,0,0,0
3903,0.0,0.0,0.0,1256,1063,1192,1127
3904,0.558578550816,0.326670587063,16.4451217651,0,0,0,0
3906,0.528199136257,0.321539998055,16.4377307892,0,0,0,0
3908,0.488424956799,0.308743059635,16.4300956726,0,0,0,0
3910,0.453500717878,0.290076524019,16.4226093292,0,0,0,0
3911,0.0,0.0,0.0,1256,1063,1193,1126
3912,-0.301114588976,0.13041934371,16.5398693085,0,0,0,0
3914,-1.05631828308,-0.0301854535937,16.6590709686,0,0,0,0
3916,-1.81162214279,-0.191543012857,16.7825870514,0,0,0,0
3918,-2.56711530685,-0.353377223015,16.910654068,0,0,0,0
3919,0.0,0.0,0.0,1256,1063,1193,1126
3920,-3.32255768776,-0.515794336796,17.0434875488,0,0,0,0
3922,-4.07792615891,-0.678650140762,17.181142807,0,0,0,0
3924,-4.83244895935,-0.842503011227,17.3237018585,0,0,0,0
3926,-5.58537960052,-1.00736677647,17.4711799622,0,0,0,0
3927,0.0,0.0,0.0,1250,1069,1184,1135
3928,-6.23439073563,-1.14296174049,17.6354045868,0,0,0,0
3930,-6.88073158264,-1.27971756458,17.8040142059,0,0,0,0
3932,-7.52374696732,-1.41707885265,17.9769287109,0,0,0,0
3934,-8.16301727295,-1.55498111248,18.1541309357,0,0,0,0
3935,0.0,0.0,0.0,1244,1075,1176,1143
3936,-8.79800987244,-1.69305241108,18.3355941772,0,0,0,0
3938,-9.42849445343,-1.83140087128,18.5213489532,0,0,0,0
3940,-10.0537471771,-1.97001779079,18.7114601135,0,0,0,0
3942,-10.6728248596,-2.10904407501,18.9060249329,0,0,0,0
3943,0.0,0.0,0.0,1240,1079,1168,1151
3944,-11.3723058701,-2.23779511452,19.1382789612,0,0,0,0
3946,-12.0608043671,-2.36715865135,19.3761062622,0,0,0,0
3948,-12.7369270325,-2.496717453,19.6194934845,0,0,0,0
3950,-13.400135994,-2.62579512596,19.8683586121,0,0,0,0
3951,0.0,0.0,0.0,1234,1085,1160,1159
3952,-14.0494976044,-2.75447058678,20.1229190826,0,0,0,0
3954,-14.6828546524,-2.88222742081,20.3829574585,0,0,0,0
3956,-15.3028869629,-3.0101146698,20.6486244202,0,0,0,0
3958,-15.9076814651,-3.13712501526,20.9194011688,0,0,0,0
3959,0.0,0.0,0.0,1228,1091,1152,1167
3960,-16.5877113342,-3.0201318264,21.3340339661,0,0,0,0
3962,-17.2378177643,-2.91267633438,21.7561264038,0,0,0,0
3964,-17.8537998199,-2.81547379494,22.1861133575,0,0,0,0
3966,-18.4365119934,-2.72585511208,22.6233692169,0,0,0,0
3967,0.0,0.0,0.0,1223,1096,1142,1177
3968,-18.9820423126,-2.64436125755,23.0680828094,0,0,0,0
3970,-19.4908790588,-2.57067847252,23.5202827454,0,0,0,0
3972,-19.958568573,-2.50160002708,23.9788208008,0,0,0,0
3974,-20.3851566315,-2.44146895409,24.4451999664,0,0,0,0
3975,0.0,0.0,0.0,1215,1104,1136,1183
